2024-09-17 07:52:22,765 - ERROR - Validation error at index 0: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': '83dc0a69-f96f-4c34-bcb7-928acae19a94', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,766 - ERROR - Validation error at index 1: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': '712254d7-aea7-4310-aff8-8bcdd0aec7ff', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,766 - ERROR - Validation error at index 2: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': 'b089ef6f-b628-4e37-811d-fffe0102ba64', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,767 - ERROR - Validation error at index 3: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': 'd55de422-8b98-47d6-9991-e4bc4c5c0cb0', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,768 - ERROR - Validation error at index 4: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': '7945b657-cb02-4cc5-96cf-f65ed0a8f235', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,769 - ERROR - Validation error at index 5: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': 'cdd568e3-9657-412b-b3a6-52f6adff966b', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,769 - ERROR - Validation error at index 6: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': '58112753-a53f-4696-ab8a-7186c7e4a57e', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,770 - ERROR - Validation error at index 7: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': '797d133a-0989-4707-914d-7c043bcbbd86', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,770 - ERROR - Validation error at index 8: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': 'a6c23718-0e25-4419-8018-600c44e5e3df', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,771 - ERROR - Validation error at index 9: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': '2e78e9a4-2b77-4b59-95e5-d60ee01ef183', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
2024-09-17 07:52:22,771 - ERROR - Validation error at index 10: [{'type': 'value_error', 'loc': ('uuid',), 'msg': 'Value error, Card number must be exactly 16 digits.', 'input': 'baa31d12-ad99-4442-b663-bd8a525c1c7a', 'ctx': {'error': ValueError('Card number must be exactly 16 digits.')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]
